location_id,epoch,satellite_id,label,cn0,elevation,azimuth,pseudorange_residual
P2,50419,02,0,26.0,35.187305,131.196101,5.203908
P2,50419,15,1,45.0,71.42828,286.38179,-4.743379
P2,50419,24,1,31.0,28.380068,174.504437,-7.111462
P2,50419,29,1,48.0,44.897092,256.552278,6.650933
P2,50419,37,1,37.0,41.492945,316.687997,2.229244
P2,50419,51,1,41.0,63.01541,193.782734,2.037648
P2,50419,52,1,41.0,46.779561,319.505546,-4.266892
P2,50420,02,0,25.0,35.180895,131.202255,5.702129
P2,50420,15,1,45.0,71.429226,286.408899,-5.159303
P2,50420,24,1,30.0,28.386998,174.501226,-7.802558
P2,50420,29,1,44.0,44.894411,256.540945,7.259732
P2,50420,37,1,34.0,41.492156,316.700095,2.633739
P2,50420,51,1,40.0,63.005109,193.779097,2.25289
P2,50420,52,1,39.0,46.786523,319.496538,-4.886629
P2,50421,02,0,25.0,35.174487,131.208387,6.485645
P2,50421,15,1,45.0,71.430186,286.436048,-5.986744
P2,50421,24,1,29.0,28.393944,174.497997,-8.849544
P2,50421,29,1,45.0,44.891754,256.529614,8.350644
P2,50421,37,1,34.0,41.491377,316.712207,2.26304
P2,50421,51,1,39.0,62.994827,193.775427,2.49089
P2,50421,52,1,39.0,46.793494,319.487543,-4.75393
P2,50422,02,0,24.0,35.1681,131.21445,9.357651
P2,50422,15,1,46.0,71.431177,286.46337,-8.880445
P2,50422,24,1,27.0,28.400951,174.494724,-12.714837
P2,50422,29,1,45.0,44.889161,256.518313,12.237631
P2,50422,37,1,34.0,41.49061,316.72437,1.78536
P2,50422,51,1,38.0,62.984616,193.771687,3.447281
P2,50422,52,1,39.0,46.800471,319.478607,-5.232641
P2,50423,02,0,23.0,35.161633,131.220742,5.083562
P2,50423,15,1,46.0,71.432045,286.4901,-4.691818
P2,50423,24,1,29.0,28.407743,174.491601,-6.939122
P2,50423,29,1,44.0,44.886335,256.50691,6.547378
P2,50423,37,1,33.0,41.4898,316.736354,1.7183
P2,50423,51,1,39.0,62.974156,193.768197,1.948579
P2,50423,52,1,39.0,46.80742,319.46945,-3.666879
P2,50424,02,0,23.0,35.155197,131.226902,4.589562
P2,50424,15,1,44.0,71.432979,286.517158,-4.197271
P2,50424,24,1,28.0,28.414644,174.48839,-6.274972
P2,50424,29,1,45.0,44.883633,256.49556,5.882681
P2,50424,37,1,33.0,41.48901,316.748437,1.751595
P2,50424,51,1,39.0,62.963829,193.764559,1.78026
P2,50424,52,1,39.0,46.81438,319.460411,-3.531855
P2,50425,02,0,24.0,35.14879,131.233074,4.606548
P2,50425,15,1,46.0,71.433893,286.544225,-4.222255
P2,50425,24,1,28.0,28.421566,174.485198,-6.297148
P2,50425,29,1,46.0,44.880924,256.484229,5.912855
P2,50425,37,1,33.0,41.488215,316.760516,1.675513
P2,50425,51,1,39.0,62.95351,193.760974,1.779336
P2,50425,52,1,40.0,46.821334,319.451361,-3.454848
P2,50426,15,1,45.0,71.434548,286.570758,0.364359
P2,50426,24,1,26.0,28.428416,174.482314,-0.086893
